result,index,cut_type,vectorsize,algorithm,paramter,type,k
0.809954751,Accuracy,TF-IDF,1066,SVM,20_10,goal,64
0.897058824,Precision,TF-IDF,1066,SVM,20_10,goal,64
0.779844577,Recall,TF-IDF,1066,SVM,20_10,goal,64
0.806236518,F1-Score,TF-IDF,1066,SVM,20_10,goal,64
0.787330317,Accuracy,TF-IDF,1066,SVM,20_10,control1,63
0.885644769,Precision,TF-IDF,1066,SVM,20_10,control1,63
0.76200565,Recall,TF-IDF,1066,SVM,20_10,control1,63
0.786033559,F1-Score,TF-IDF,1066,SVM,20_10,control1,63
0.814479638,Accuracy,TF-IDF,1066,SVM,20_10,control2,60
0.897243108,Precision,TF-IDF,1066,SVM,20_10,control2,60
0.789081289,Recall,TF-IDF,1066,SVM,20_10,control2,60
0.812892791,F1-Score,TF-IDF,1066,SVM,20_10,control2,60
0.828054299,Accuracy,Word2Vec,100,SVM,20_10,goal,64
0.84839543,Precision,Word2Vec,100,SVM,20_10,goal,64
0.816134048,Recall,Word2Vec,100,SVM,20_10,goal,64
0.826353518,F1-Score,Word2Vec,100,SVM,20_10,goal,64
0.78280543,Accuracy,Word2Vec,100,SVM,20_10,control1,48
0.78670694,Precision,Word2Vec,100,SVM,20_10,control1,48
0.780381454,Recall,Word2Vec,100,SVM,20_10,control1,48
0.780411024,F1-Score,Word2Vec,100,SVM,20_10,control1,48
0.841628959,Accuracy,Word2Vec,100,SVM,20_10,control2,64
0.853285544,Precision,Word2Vec,100,SVM,20_10,control2,64
0.833586626,Recall,Word2Vec,100,SVM,20_10,control2,64
0.840593476,F1-Score,Word2Vec,100,SVM,20_10,control2,64
0.832579186,Accuracy,Word2Vec,200,SVM,20_10,goal,64
0.844615539,Precision,Word2Vec,200,SVM,20_10,goal,64
0.821425053,Recall,Word2Vec,200,SVM,20_10,goal,64
0.828958198,F1-Score,Word2Vec,200,SVM,20_10,goal,64
0.787330317,Accuracy,Word2Vec,200,SVM,20_10,control1,48
0.788186019,Precision,Word2Vec,200,SVM,20_10,control1,48
0.792584227,Recall,Word2Vec,200,SVM,20_10,control1,48
0.786289028,F1-Score,Word2Vec,200,SVM,20_10,control1,48
0.841628959,Accuracy,Word2Vec,200,SVM,20_10,control2,64
0.852489048,Precision,Word2Vec,200,SVM,20_10,control2,64
0.833669298,Recall,Word2Vec,200,SVM,20_10,control2,64
0.840277092,F1-Score,Word2Vec,200,SVM,20_10,control2,64
0.873303167,Accuracy,Word2Vec,300,SVM,20_10,goal,64
0.883091911,Precision,Word2Vec,300,SVM,20_10,goal,64
0.863313351,Recall,Word2Vec,300,SVM,20_10,goal,64
0.871094633,F1-Score,Word2Vec,300,SVM,20_10,goal,64
0.800904977,Accuracy,Word2Vec,300,SVM,20_10,control1,48
0.799041142,Precision,Word2Vec,300,SVM,20_10,control1,48
0.797023025,Recall,Word2Vec,300,SVM,20_10,control1,48
0.793968502,F1-Score,Word2Vec,300,SVM,20_10,control1,48
0.882352941,Accuracy,Word2Vec,300,SVM,20_10,control2,53
0.89169653,Precision,Word2Vec,300,SVM,20_10,control2,53
0.876594982,Recall,Word2Vec,300,SVM,20_10,control2,53
0.88174249,F1-Score,Word2Vec,300,SVM,20_10,control2,53
0.809954751,Accuracy,Word2Vec,400,SVM,20_10,goal,26
0.808401639,Precision,Word2Vec,400,SVM,20_10,goal,26
0.803594235,Recall,Word2Vec,400,SVM,20_10,goal,26
0.804685511,F1-Score,Word2Vec,400,SVM,20_10,goal,26
0.800904977,Accuracy,Word2Vec,400,SVM,20_10,control1,48
0.802481785,Precision,Word2Vec,400,SVM,20_10,control1,48
0.797969341,Recall,Word2Vec,400,SVM,20_10,control1,48
0.799687273,F1-Score,Word2Vec,400,SVM,20_10,control1,48
0.828054299,Accuracy,Word2Vec,400,SVM,20_10,control2,61
0.827510265,Precision,Word2Vec,400,SVM,20_10,control2,61
0.831670446,Recall,Word2Vec,400,SVM,20_10,control2,61
0.828511583,F1-Score,Word2Vec,400,SVM,20_10,control2,61
0.800904977,Accuracy,Word2Vec,500,SVM,20_10,goal,64
0.819610451,Precision,Word2Vec,500,SVM,20_10,goal,64
0.785132064,Recall,Word2Vec,500,SVM,20_10,goal,64
0.790739941,F1-Score,Word2Vec,500,SVM,20_10,goal,64
0.773755656,Accuracy,Word2Vec,500,SVM,20_10,control1,48
0.773632931,Precision,Word2Vec,500,SVM,20_10,control1,48
0.772188761,Recall,Word2Vec,500,SVM,20_10,control1,48
0.770647094,F1-Score,Word2Vec,500,SVM,20_10,control1,48
0.814479638,Accuracy,Word2Vec,500,SVM,20_10,control2,45
0.822127346,Precision,Word2Vec,500,SVM,20_10,control2,45
0.811497309,Recall,Word2Vec,500,SVM,20_10,control2,45
0.814426922,F1-Score,Word2Vec,500,SVM,20_10,control2,45
0.429864253,Accuracy,Doc2Vec,100,SVM,20_10,goal,64
0.428501762,Precision,Doc2Vec,100,SVM,20_10,goal,64
0.413912107,Recall,Doc2Vec,100,SVM,20_10,goal,64
0.412283398,F1-Score,Doc2Vec,100,SVM,20_10,goal,64
0.393665158,Accuracy,Doc2Vec,100,SVM,20_10,control1,64
0.374636496,Precision,Doc2Vec,100,SVM,20_10,control1,64
0.361197301,Recall,Doc2Vec,100,SVM,20_10,control1,64
0.356928249,F1-Score,Doc2Vec,100,SVM,20_10,control1,64
0.452488688,Accuracy,Doc2Vec,100,SVM,20_10,control2,64
0.421734098,Precision,Doc2Vec,100,SVM,20_10,control2,64
0.42357945,Recall,Doc2Vec,100,SVM,20_10,control2,64
0.407245713,F1-Score,Doc2Vec,100,SVM,20_10,control2,64
0.443438914,Accuracy,Doc2Vec,200,SVM,20_10,goal,30
0.2611901,Precision,Doc2Vec,200,SVM,20_10,goal,30
0.330480506,Recall,Doc2Vec,200,SVM,20_10,goal,30
0.232403218,F1-Score,Doc2Vec,200,SVM,20_10,goal,30
0.425339367,Accuracy,Doc2Vec,200,SVM,20_10,control1,30
0.375369458,Precision,Doc2Vec,200,SVM,20_10,control1,30
0.367610365,Recall,Doc2Vec,200,SVM,20_10,control1,30
0.348874868,F1-Score,Doc2Vec,200,SVM,20_10,control1,30
0.515837104,Accuracy,Doc2Vec,200,SVM,20_10,control2,64
0.465610721,Precision,Doc2Vec,200,SVM,20_10,control2,64
0.474365358,Recall,Doc2Vec,200,SVM,20_10,control2,64
0.428480726,F1-Score,Doc2Vec,200,SVM,20_10,control2,64
0.461538462,Accuracy,Doc2Vec,300,SVM,20_10,goal,59
0.153846154,Precision,Doc2Vec,300,SVM,20_10,goal,59
0.333333333,Recall,Doc2Vec,300,SVM,20_10,goal,59
0.210526316,F1-Score,Doc2Vec,300,SVM,20_10,goal,59
0.438914027,Accuracy,Doc2Vec,300,SVM,20_10,control1,30
0.227564103,Precision,Doc2Vec,300,SVM,20_10,control1,30
0.326624466,Recall,Doc2Vec,300,SVM,20_10,control1,30
0.229831774,F1-Score,Doc2Vec,300,SVM,20_10,control1,30
0.484162896,Accuracy,Doc2Vec,300,SVM,20_10,control2,67
0.323200242,Precision,Doc2Vec,300,SVM,20_10,control2,67
0.442614126,Recall,Doc2Vec,300,SVM,20_10,control2,67
0.368686869,F1-Score,Doc2Vec,300,SVM,20_10,control2,67
0.457013575,Accuracy,Doc2Vec,400,SVM,20_10,goal,62
0.152337858,Precision,Doc2Vec,400,SVM,20_10,goal,62
0.333333333,Recall,Doc2Vec,400,SVM,20_10,goal,62
0.209109731,F1-Score,Doc2Vec,400,SVM,20_10,goal,62
0.43438914,Accuracy,Doc2Vec,400,SVM,20_10,control1,20
0.311263318,Precision,Doc2Vec,400,SVM,20_10,control1,20
0.339285714,Recall,Doc2Vec,400,SVM,20_10,control1,20
0.213192767,F1-Score,Doc2Vec,400,SVM,20_10,control1,20
0.479638009,Accuracy,Doc2Vec,400,SVM,20_10,control2,65
0.320875007,Precision,Doc2Vec,400,SVM,20_10,control2,65
0.42431562,Recall,Doc2Vec,400,SVM,20_10,control2,65
0.363636364,F1-Score,Doc2Vec,400,SVM,20_10,control2,65
0.425339367,Accuracy,Doc2Vec,500,SVM,20_10,goal,64
0.141779789,Precision,Doc2Vec,500,SVM,20_10,goal,64
0.333333333,Recall,Doc2Vec,500,SVM,20_10,goal,64
0.198941799,F1-Score,Doc2Vec,500,SVM,20_10,goal,64
0.416289593,Accuracy,Doc2Vec,500,SVM,20_10,control1,31
0.138763198,Precision,Doc2Vec,500,SVM,20_10,control1,31
0.333333333,Recall,Doc2Vec,500,SVM,20_10,control1,31
0.195953142,F1-Score,Doc2Vec,500,SVM,20_10,control1,31
0.479638009,Accuracy,Doc2Vec,500,SVM,20_10,control2,65
0.320875007,Precision,Doc2Vec,500,SVM,20_10,control2,65
0.42431562,Recall,Doc2Vec,500,SVM,20_10,control2,65
0.363636364,F1-Score,Doc2Vec,500,SVM,20_10,control2,65
0.656108597,Accuracy,LDA,50,SVM,20_10,goal,64
0.656023066,Precision,LDA,50,SVM,20_10,goal,64
0.653877139,Recall,LDA,50,SVM,20_10,goal,64
0.654277877,F1-Score,LDA,50,SVM,20_10,goal,64
0.628959276,Accuracy,LDA,50,SVM,20_10,control1,66
0.648553148,Precision,LDA,50,SVM,20_10,control1,66
0.624470447,Recall,LDA,50,SVM,20_10,control1,66
0.630559839,F1-Score,LDA,50,SVM,20_10,control1,66
0.714932127,Accuracy,LDA,50,SVM,20_10,control2,66
0.747719735,Precision,LDA,50,SVM,20_10,control2,66
0.699973894,Recall,LDA,50,SVM,20_10,control2,66
0.710752261,F1-Score,LDA,50,SVM,20_10,control2,66
0.669683258,Accuracy,LDA,100,SVM,20_10,goal,64
0.670634921,Precision,LDA,100,SVM,20_10,goal,64
0.678722701,Recall,LDA,100,SVM,20_10,goal,64
0.670601988,F1-Score,LDA,100,SVM,20_10,goal,64
0.642533937,Accuracy,LDA,100,SVM,20_10,control1,63
0.667514685,Precision,LDA,100,SVM,20_10,control1,63
0.617263026,Recall,LDA,100,SVM,20_10,control1,63
0.625876123,F1-Score,LDA,100,SVM,20_10,control1,63
0.71040724,Accuracy,LDA,100,SVM,20_10,control2,66
0.783503119,Precision,LDA,100,SVM,20_10,control2,66
0.687083692,Recall,LDA,100,SVM,20_10,control2,66
0.704642024,F1-Score,LDA,100,SVM,20_10,control2,66
0.71040724,Accuracy,LDA,150,SVM,20_10,goal,64
0.751748831,Precision,LDA,150,SVM,20_10,goal,64
0.689946738,Recall,LDA,150,SVM,20_10,goal,64
0.702681253,F1-Score,LDA,150,SVM,20_10,goal,64
0.687782805,Accuracy,LDA,150,SVM,20_10,control1,60
0.746234255,Precision,LDA,150,SVM,20_10,control1,60
0.628996341,Recall,LDA,150,SVM,20_10,control1,60
0.655851248,F1-Score,LDA,150,SVM,20_10,control1,60
0.760180995,Accuracy,LDA,150,SVM,20_10,control2,66
0.848371181,Precision,LDA,150,SVM,20_10,control2,66
0.731704417,Recall,LDA,150,SVM,20_10,control2,66
0.750651512,F1-Score,LDA,150,SVM,20_10,control2,66
0.773755656,Accuracy,LDA,200,SVM,20_10,goal,64
0.819759007,Precision,LDA,200,SVM,20_10,goal,64
0.74798597,Recall,LDA,200,SVM,20_10,goal,64
0.765787792,F1-Score,LDA,200,SVM,20_10,goal,64
0.764705882,Accuracy,LDA,200,SVM,20_10,control1,60
0.784397518,Precision,LDA,200,SVM,20_10,control1,60
0.735538783,Recall,LDA,200,SVM,20_10,control1,60
0.753487032,F1-Score,LDA,200,SVM,20_10,control1,60
0.800904977,Accuracy,LDA,200,SVM,20_10,control2,74
0.862081141,Precision,LDA,200,SVM,20_10,control2,74
0.771645022,Recall,LDA,200,SVM,20_10,control2,74
0.798340146,F1-Score,LDA,200,SVM,20_10,control2,74
0.687782805,Accuracy,LDA,250,SVM,20_10,goal,64
0.732517286,Precision,LDA,250,SVM,20_10,goal,64
0.658174322,Recall,LDA,250,SVM,20_10,goal,64
0.674138041,F1-Score,LDA,250,SVM,20_10,goal,64
0.678733032,Accuracy,LDA,250,SVM,20_10,control1,60
0.758192788,Precision,LDA,250,SVM,20_10,control1,60
0.650724638,Recall,LDA,250,SVM,20_10,control1,60
0.663117389,F1-Score,LDA,250,SVM,20_10,control1,60
0.7239819,Accuracy,LDA,250,SVM,20_10,control2,74
0.827797203,Precision,LDA,250,SVM,20_10,control2,74
0.694849051,Recall,LDA,250,SVM,20_10,control2,74
0.715801504,F1-Score,LDA,250,SVM,20_10,control2,74
